parcel_id,land_no,Land,Area,Grade,Frontage,Depth
0090025,2,5,0.90,1.00,,
0090026,1,1,2.00,1.25,,
0090026,2,5,0.10,1.00,,
0090027,1,1,1.80,1.25,,
0090028,1,1,1.90,1.25,,
0090031,1,1,1.14,1.25,,
0090032,1,1,2.00,1.25,,
0090032,2,5,0.30,1.00,,
0090033,1,1,1.20,1.25,,
0090034,1,1,2.00,1.25,,
0090034,2,5,0.50,1.00,,
0090035,1,1,2.00,1.25,,
0090035,2,5,0.30,1.00,,
0090036,1,1,2.00,1.25,,
0090036,2,5,8.10,1.00,,
0090038,1,1,1.60,1.25,,
0090039,1,1,2.00,1.25,,
0090039,2,5,0.50,1.00,,
009004,1,1,1.80,1.25,,
0090041,1,1,2.00,1.25,,
0090042,1,1,1.90,1.25,,
0090043,1,1,1.90,1.25,,
0090044,1,1,1.90,1.25,,
0090045,1,6,3.80,0.80,,
0090046,1,1,2.00,1.25,,
0090046,2,5,1.00,1.00,,
0090047,1,6,29.50,1.00,,
0090048,1,1,1.50,1.25,,
0090049,1,1,2.00,1.25,,
0090049,2,5,5.10,1.00,,
009005,1,1,2.00,1.25,,
009005,2,5,0.50,1.00,,
0090051,1,1,2.00,1.25,,
0090051,2,5,1.00,1.00,,
0090052,1,1,2.00,1.50,,
0090052,2,5,1.10,1.00,,
0090053,1,1,2.00,1.50,,
0090053,2,5,1.10,1.00,,
0090054,1,1,2.00,1.25,,
0090054,2,5,1.50,1.00,,
0090055,1,1,2.00,1.25,,
0090055,2,5,1.40,1.00,,
0090057,1,1,2.00,1.25,,
0090057,2,5,6.15,1.00,,
0090058,1,1,2.00,1.50,,
0090058,2,5,5.37,1.00,,
0090059,1,6,16.00,1.50,,
0090061,1,1,2.00,1.50,,
0090061,2,5,4.40,1.00,,
0090062,1,1,2.00,0.50,,
0090062,2,5,1.20,0.80,,
0090063,1,1,2.00,0.80,,
0090063,2,5,1.10,0.80,,
0090064,1,6,3.80,0.70,,
